delaytimes_ms,delay_ms
26.313,105.375
26.314,107.06896551724138
26.315,109.72
26.323,105.27586206896552
26.324,107.0
26.325,109.33333333333333
26.333,105.48275862068965
26.334,107.19354838709677
26.335,109.125
26.336,110.33333333333333
26.343,105.65217391304348
26.344,108.09375
26.345,109.36842105263158
26.353,103.0
26.354,105.42307692307692
26.355,107.96875
26.356,108.77777777777777
26.363,102.5
26.364,103.55172413793103
26.365,106.42105263157895
26.366,107.89285714285714
26.367,108.6
26.373,103.125
26.374,104.17857142857143
26.375,107.67857142857143
26.376,109.10526315789474
26.383,103.38461538461539
26.384,104.21428571428571
26.385,107.17241379310344
26.386,109.84210526315789
26.393,104.0
26.394,104.78571428571429
26.395,106.53571428571429
26.396,109.56521739130434
26.403,104.0
26.404,104.70967741935483
26.405,106.58064516129032
26.406,109.83333333333333
26.413,105.0
26.414,104.92857142857143
26.415,106.54545454545455
26.416,110.12903225806451
26.424,105.7741935483871
26.425,107.46875
26.426,110.20689655172414
26.434,106.375
26.435,107.96969696969697
26.436,109.52173913043478
26.445,104.29166666666667
26.446,106.51612903225806
26.447,108.25
26.448,110.26666666666667
26.454,106.0
26.455,106.79310344827586
26.456,108.6
26.457,109.5
26.464,104.25
26.465,106.27586206896552
26.466,108.53571428571429
26.467,109.0
26.474,102.6
26.475,103.03448275862068
26.476,106.20689655172414
26.477,109.17241379310344
26.478,110.0
26.484,104.0
26.485,104.62962962962963
26.486,107.11111111111111
26.487,109.75
26.494,104.0
26.495,104.375
26.496,107.13333333333334
26.497,110.23076923076923
26.504,104.0
26.505,104.87878787878788
26.506,107.33333333333333
26.507,110.6
26.515,104.46666666666667
26.516,105.51515151515152
26.517,107.89655172413794
26.518,110.72222222222223
26.525,106.1304347826087
26.526,107.25925925925925
26.527,109.5
26.528,111.0
26.535,105.95833333333333
26.536,107.57575757575758
26.537,109.60714285714286
26.545,104.83333333333333
26.546,106.46666666666667
26.547,108.1470588235294
26.548,109.0
26.555,102.57142857142857
26.556,104.7
26.557,107.33333333333333
26.558,108.47058823529412
26.565,102.4
26.566,103.25925925925925
26.567,106.86206896551724
26.568,108.85714285714286
26.575,103.28571428571429
26.576,104.07407407407408
26.577,107.17857142857143
26.578,108.63636363636364
26.585,102.0
26.586,102.46153846153847
26.587,104.17857142857143
26.588,107.58620689655173
26.589,108.76923076923077
26.596,103.48
26.597,105.48387096774194
26.598,108.84615384615384
26.599,109.625
26.606,104.11111111111111
26.607,105.58620689655173
26.608,108.82758620689656
26.609,110.83333333333333
26.616,104.80952380952381
26.617,106.12121212121212
26.618,108.85714285714286
26.619,110.6
26.626,104.8125
26.627,106.0
26.628,108.2258064516129
26.629,110.58333333333333
26.636,105.5
26.637,106.51515151515152
26.638,108.45161290322581
26.639,110.0
26.646,103.75
26.647,105.46666666666667
26.648,107.24242424242425
26.649,108.52631578947368
26.656,103.33333333333333
26.657,105.56666666666666
26.658,108.1875
26.659,109.0
26.666,102.0
26.667,102.85185185185185
26.668,106.3103448275862
26.669,108.45454545454545
26.67,109.0
26.677,104.28571428571429
26.678,107.67857142857143
26.679,109.16
26.687,102.4
26.688,103.13793103448276
26.689,106.42857142857143
26.69,108.51851851851852
26.691,109.0
26.697,104.07692307692308
26.698,105.11111111111111
26.699,108.41379310344827
26.7,110.47058823529412
26.707,105.0
26.708,106.07142857142857
26.709,109.36666666666666
26.71,111.0
26.717,104.54545454545455
26.718,105.20689655172414
26.719,107.25925925925925
26.72,110.4
26.727,105.0
26.728,105.63636363636364
26.729,107.84375
26.73,111.29166666666667
26.737,106.0
26.738,106.06666666666666
26.739,107.78125
26.74,110.3
26.741,111.4
26.747,106.0
26.748,106.67857142857143
26.749,108.17241379310344
26.75,108.0
26.751,109.35714285714286
26.758,105.8
26.759,107.39393939393939
26.76,108.71428571428571
26.768,102.83333333333333
26.769,105.53571428571429
26.77,107.55172413793103
26.771,108.5
26.778,103.11764705882354
26.779,106.06896551724138
26.78,108.14285714285714
26.781,108.83333333333333
26.788,103.0
26.789,104.48275862068965
26.79,107.92307692307692
26.791,109.33333333333333
26.798,103.0
26.799,103.44827586206897
26.8,105.78571428571429
26.801,108.92592592592592
26.808,103.42857142857143
26.809,104.21212121212122
26.81,106.8076923076923
26.811,109.75
26.812,110.0
26.818,105.0
26.819,105.07407407407408
26.82,107.27586206896552
26.821,110.6896551724138
26.822,111.0
26.828,105.0
26.829,105.56666666666666
26.83,107.3
26.831,110.89285714285714
26.838,106.0
26.839,106.51612903225806
26.84,108.29032258064517
26.841,111.0
26.848,106.0
26.849,106.6774193548387
26.85,108.2258064516129
26.851,111.06896551724138
26.859,106.52631578947368
26.86,107.8125
26.861,109.46153846153847
26.869,105.05
26.87,107.13793103448276
